Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,12,0,0,0,0,0,5.500,0.000,5.500,0.640,0,26.751,10.591,0,0.271,0.628,0.112,0.225,0.149,4264.767,5026.754,3364.310,4415.320,451.480
Track_1,1,5,0,0,0,0,0,2.000,2.000,4.000,0.064,1,49.203,10.461,0,0.525,0.879,0.187,0.570,0.286,4469.654,6407.538,3539.694,3953.587,1033.018
Track_2,2,23,0,0,0,0,0,11.000,1.500,12.500,0.082,2,17.120,10.757,0,0.210,0.558,0.030,0.194,0.153,3753.670,4567.601,2826.598,3755.176,433.196
Track_3,3,24,0,0,0,0,0,11.500,0.000,11.500,0.460,3,34.544,10.753,0,0.335,0.615,0.140,0.311,0.129,3869.711,4709.905,2079.845,4017.376,526.627
Track_5,5,35,0,0,0,0,0,17.000,0.000,17.000,0.682,5,4.198,10.241,0,0.296,0.653,0.046,0.269,0.164,2868.505,3564.941,2011.474,2881.395,379.058
Track_6,6,45,0,0,0,0,0,22.000,0.000,22.000,0.305,6,5.385,10.282,0,0.318,0.798,0.028,0.310,0.187,3198.887,4176.204,2596.795,3199.696,327.319
Track_7,7,46,0,0,0,0,0,22.500,0.000,22.500,0.881,7,31.302,10.647,0,0.339,0.905,0.074,0.308,0.182,3958.334,4871.232,3148.973,3973.863,396.651
Track_8,8,100,0,0,0,0,0,49.500,0.000,49.500,1.877,8,16.697,11.836,0,0.319,0.868,0.025,0.285,0.176,3767.330,4743.502,2563.917,3790.608,411.638
Track_9,9,36,0,0,0,0,0,17.500,0.000,17.500,0.451,9,10.325,11.710,0,0.282,0.794,0.072,0.265,0.152,3539.952,4148.547,2672.405,3577.353,337.897
Track_10,10,9,0,0,0,0,0,4.000,0.000,4.000,0.368,10,28.669,12.160,0,0.258,0.514,0.017,0.249,0.155,4035.006,4540.806,3613.137,4111.206,277.694
Track_11,11,7,0,0,0,0,0,3.000,2.500,5.500,0.957,11,49.664,11.162,0,0.467,0.847,0.191,0.499,0.233,3520.815,4071.127,2978.832,3619.949,423.442
Track_12,12,32,0,0,0,0,0,15.500,0.000,15.500,0.666,12,39.609,11.516,0,0.314,0.656,0.013,0.316,0.155,3980.927,4982.082,3200.018,3938.895,492.741
Track_13,13,13,0,0,0,0,0,6.000,0.000,6.000,1.462,13,52.502,11.702,0,0.409,0.817,0.156,0.351,0.213,3649.731,4058.754,3288.037,3659.071,243.186
Track_15,15,24,0,0,0,0,0,11.500,2.500,14.000,0.721,15,20.805,7.995,0,0.259,0.478,0.080,0.265,0.117,3639.033,4431.105,2915.101,3698.260,406.849
Track_16,16,22,0,0,0,0,0,10.500,0.000,10.500,1.062,16,14.215,7.793,0,0.243,0.596,0.059,0.226,0.170,3670.329,6006.364,2763.363,3480.012,809.663
Track_17,17,12,0,0,0,0,0,5.500,0.000,5.500,0.238,17,46.310,8.201,0,0.166,0.485,0.025,0.116,0.132,5100.665,6463.129,3073.682,5473.861,1061.975
Track_18,18,14,0,0,0,0,0,6.500,0.000,6.500,0.313,18,43.554,7.212,0,0.221,0.769,0.018,0.117,0.246,3703.644,4679.078,2994.092,3558.071,538.601
Track_19,19,102,0,0,0,0,0,50.500,0.500,51.000,0.819,19,24.654,7.777,0,0.302,0.783,0.010,0.271,0.172,3962.414,6669.351,2356.140,3861.145,655.606
Track_20,20,41,0,0,0,0,0,20.000,0.000,20.000,0.368,20,51.470,7.099,0,0.170,0.538,0.030,0.111,0.151,4197.549,6365.287,2838.802,3953.874,915.829
Track_21,21,9,0,0,0,0,0,4.000,2.500,6.500,0.571,21,10.898,7.629,0,0.242,0.488,0.072,0.245,0.145,3398.910,4086.765,2848.536,3409.420,369.332
Track_22,22,82,0,0,0,0,0,40.500,0.000,40.500,1.098,22,12.795,9.349,0,0.264,0.851,0.004,0.225,0.172,3509.524,4896.805,2440.492,3458.411,498.453
Track_23,23,159,0,0,0,0,0,79.000,1.500,80.500,2.738,23,3.608,11.029,0,0.293,0.712,0.016,0.276,0.163,3330.260,4481.084,2123.185,3328.375,380.648
Track_24,24,39,0,0,0,0,0,19.000,0.000,19.000,1.052,24,36.462,9.727,0,0.260,0.638,0.021,0.237,0.158,5442.086,7801.991,2807.455,5696.948,1485.484
Track_25,25,50,0,0,0,0,0,24.500,1.500,26.000,0.489,25,41.110,10.465,0,0.321,0.949,0.012,0.312,0.193,4273.663,7667.836,2727.730,3840.121,1253.304
Track_26,26,34,0,0,0,0,0,16.500,0.000,16.500,0.994,26,31.665,8.371,0,0.219,0.535,0.002,0.210,0.162,3715.643,4386.894,2702.387,3808.176,361.442
Track_27,27,41,0,0,0,0,0,20.000,0.000,20.000,1.308,27,45.879,8.317,0,0.304,0.818,0.013,0.264,0.213,3820.784,6844.317,2745.048,3521.444,985.858
Track_28,28,11,0,0,0,0,0,5.000,0.000,5.000,0.405,28,23.901,8.497,0,0.213,0.413,0.126,0.190,0.083,3470.919,4337.764,2110.284,3374.929,588.714
Track_29,29,13,0,0,0,0,0,6.000,0.000,6.000,0.793,29,47.491,8.716,0,0.232,0.557,0.035,0.209,0.180,3433.498,4221.825,2790.909,3407.078,421.552
